Plasmid_ID,reason failed
seq_11,repeat ≥ 50
seq_13,"ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_19,No ORI; No ARG; repeat ≥ 50
seq_2,repeat ≥ 50
seq_21,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_23,repeat ≥ 50
seq_27,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_33,repeat ≥ 50
seq_39,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_49,repeat ≥ 50
seq_59,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_65,"ORI low-threshold count 2 outside [1,1]"
seq_67,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_69,repeat ≥ 50
seq_75,repeat ≥ 50
seq_77,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_79,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_85,No ORI; No ARG; repeat ≥ 50
seq_89,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_9,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_90,repeat ≥ 50
seq_94,repeat ≥ 50
seq_99,repeat ≥ 50
