sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.83,100.0,2401,2989,+,8380,1,589,589,589,1058,0.0
seq_1,seq_1,ColE1,99.66,100.0,5724,6312,-,7194,589,1,589,589,1054,0.0
seq_1,seq_1,ColE1,99.66,100.0,2751,3339,+,7194,1,589,589,589,1054,0.0
seq_11,seq_11,ColE1,99.321,100.0,1988,2575,-,4805,589,1,589,589,1041,0.0
seq_13,seq_13,ColE1,99.83,100.0,2034,2622,+,6618,1,589,589,589,1058,0.0
seq_13,seq_13,ColE1,99.604,85.73853989813243,3031,3535,+,6618,85,589,589,505,902,0.0
seq_13,seq_13,ColE1,99.491,100.0,1036,1624,-,6618,589,1,589,589,1049,0.0
seq_14,seq_14,ColE1,99.83,100.0,1674,2262,-,5823,589,1,589,589,1058,0.0
seq_16,seq_16,Col440I_1__CP023920,94.737,100.0,3401,3514,+,3837,1,114,114,114,179,1.1e-45
seq_18,seq_18,ColE1,99.83,100.0,274,862,+,5119,1,589,589,589,1058,0.0
seq_19,seq_19,Col440I_1__CP023920,94.737,100.0,2249,2362,+,4220,1,114,114,114,179,1.21e-45
seq_2,seq_2,ColE1,99.83,100.0,2153,2741,+,6507,1,589,589,589,1058,0.0
seq_23,seq_23,ColE1,99.83,100.0,1989,2577,-,8950,589,1,589,589,1058,0.0
seq_23,seq_23,Col440I_1__CP023920,94.737,100.0,6232,6345,+,8950,1,114,114,114,179,2.58e-45
seq_24,seq_24,ColE1,99.83,100.0,2180,2768,+,7656,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.83,100.0,1210,1798,-,5122,589,1,589,589,1058,0.0
seq_28,seq_28,ColE1,99.66,100.0,2517,3105,+,4342,1,589,589,589,1054,0.0
seq_29,seq_29,ColE1,99.83,100.0,3696,4284,-,6803,589,1,589,589,1058,0.0
seq_3,seq_3,ColE1,99.66,100.0,1486,2074,-,8333,589,1,589,589,1054,0.0
seq_3,seq_3,IncP1_1__BN000925,99.451,100.0,6148,6511,+,8333,1,364,364,364,648,0.0
seq_30,seq_30,ColE1,99.83,100.0,4556,5144,+,11710,1,589,589,589,1058,0.0
seq_30,seq_30,ColE1,99.66,100.0,9444,10032,-,11710,589,1,589,589,1054,0.0
seq_31,seq_31,ColE1,99.83,100.0,3530,4118,+,8571,1,589,589,589,1058,0.0
seq_32,seq_32,ColE1,99.83,100.0,2912,3500,+,6418,1,589,589,589,1058,0.0
seq_33,seq_33,ColE1,99.66,100.0,4750,5338,+,7662,1,589,589,589,1054,0.0
seq_33,seq_33,ColE1,99.491,100.0,1184,1772,-,7662,589,1,589,589,1049,0.0
seq_34,seq_34,ColE1,99.83,100.0,1805,2393,+,6278,1,589,589,589,1058,0.0
seq_35,seq_35,ColE1,99.83,100.0,3383,3971,-,9065,589,1,589,589,1058,0.0
seq_35,seq_35,ColE1,99.491,100.0,1222,1810,-,9065,589,1,589,589,1049,0.0
seq_36,seq_36,ColE1,99.83,100.0,5491,6079,+,14385,1,589,589,589,1058,0.0
seq_36,seq_36,ColE1,99.83,100.0,10454,11042,+,14385,1,589,589,589,1058,0.0
seq_36,seq_36,ColE1,99.83,100.0,1378,1966,-,14385,589,1,589,589,1058,0.0
seq_38,seq_38,ColE1,99.83,100.0,3511,4099,+,7711,1,589,589,589,1058,0.0
seq_39,seq_39,ColE1,99.66,100.0,9227,9815,+,10269,1,589,589,589,1054,0.0
seq_39,seq_39,Col440I_1__CP023920,94.737,100.0,1555,1668,+,10269,1,114,114,114,179,2.96e-45
seq_39,seq_39,Col440I_1__CP023920,94.737,100.0,5759,5872,+,10269,1,114,114,114,179,2.96e-45
seq_4,seq_4,ColE1,99.83,100.0,1914,2502,+,6770,1,589,589,589,1058,0.0
seq_40,seq_40,ColE1,99.66,100.0,3635,4223,-,6375,589,1,589,589,1054,0.0
seq_41,seq_41,Col440I_1__CP023920,94.737,100.0,2130,2243,-,2655,114,1,114,114,179,7.62e-46
seq_43,seq_43,ColE1,99.66,100.0,1944,2532,-,5206,589,1,589,589,1054,0.0
seq_44,seq_44,Col440I_1__CP023920,94.737,100.0,3066,3179,+,3498,1,114,114,114,179,1.01e-45
seq_49,seq_49,ColE1,99.151,100.0,1743,2330,-,4100,589,1,589,589,1037,0.0
seq_5,seq_5,ColE1,99.83,100.0,3717,4305,+,13719,1,589,589,589,1058,0.0
seq_5,seq_5,ColE1,99.83,100.0,8621,9209,+,13719,1,589,589,589,1058,0.0
seq_50,seq_50,ColE1,99.66,100.0,3751,4338,-,8442,589,1,589,589,1050,0.0
seq_51,seq_51,ColE1,99.83,100.0,2183,2771,+,8634,1,589,589,589,1058,0.0
seq_51,seq_51,ColE1,99.83,100.0,6114,6702,+,8634,1,589,589,589,1058,0.0
seq_51,seq_51,Col440I_1__CP023920,94.737,100.0,8086,8199,+,8634,1,114,114,114,179,2.49e-45
seq_53,seq_53,ColE1,99.83,100.0,6196,6784,+,9327,1,589,589,589,1058,0.0
seq_53,seq_53,ColE1,99.83,100.0,1190,1778,-,9327,589,1,589,589,1058,0.0
seq_55,seq_55,pBBR1,100.0,94.00278940027894,1058,2405,+,2405,1,1348,1434,1348,2432,0.0
seq_56,seq_56,ColE1,99.83,100.0,2560,3148,+,4964,1,589,589,589,1058,0.0
seq_58,seq_58,ColE1,99.83,100.0,1554,2142,+,7684,1,589,589,589,1058,0.0
seq_59,seq_59,ColE1,99.83,100.0,1393,1981,-,9886,589,1,589,589,1058,0.0
seq_59,seq_59,ColE1,99.83,100.0,7932,8520,+,9886,1,589,589,589,1058,0.0
seq_6,seq_6,ColE1,99.66,100.0,973,1561,+,9404,1,589,589,589,1054,0.0
seq_6,seq_6,ColE1,99.66,100.0,7308,7896,-,9404,589,1,589,589,1054,0.0
seq_6,seq_6,ColE1,99.66,100.0,3352,3940,+,9404,1,589,589,589,1054,0.0
seq_61,seq_61,ColRNAI_1__DQ298019,97.71,100.76923076923076,1349,1479,+,3691,1,130,130,131,220,1.21e-57
seq_62,seq_62,ColE1,99.66,100.0,1533,2121,-,8069,589,1,589,589,1054,0.0
seq_63,seq_63,ColE1,99.321,100.0,1983,2570,-,4593,589,1,589,589,1041,0.0
seq_64,seq_64,ColE1,99.491,100.0,4892,5480,+,6517,1,589,589,589,1049,0.0
seq_64,seq_64,Col(pHAD28)_1__KU674895,89.313,100.0,112,242,-,6517,131,1,131,131,174,7.99e-44
seq_67,seq_67,ColE1,99.83,100.0,1202,1790,-,8997,589,1,589,589,1058,0.0
seq_67,seq_67,ColE1,99.826,97.79286926994908,4628,5203,-,8997,576,1,589,576,1035,0.0
seq_67,seq_67,Col440I_1__CP023920,94.737,100.0,7681,7794,+,8997,1,114,114,114,179,2.6e-45
seq_68,seq_68,ColE1,99.83,100.0,2175,2763,+,6697,1,589,589,589,1058,0.0
seq_69,seq_69,ColE1,99.83,100.0,3543,4131,+,13329,1,589,589,589,1058,0.0
seq_69,seq_69,ColE1,99.66,100.0,10264,10852,-,13329,589,1,589,589,1054,0.0
seq_7,seq_7,ColE1,99.83,100.0,1386,1974,-,6683,589,1,589,589,1058,0.0
seq_70,seq_70,ColE1,99.83,100.0,495,1083,+,6451,1,589,589,589,1058,0.0
seq_70,seq_70,Col440I_1__CP023920,94.737,100.0,5230,5343,+,6451,1,114,114,114,179,1.86e-45
seq_71,seq_71,ColE1,99.66,100.0,1369,1957,-,6810,589,1,589,589,1054,0.0
seq_72,seq_72,ColE1,99.83,100.0,4590,5178,-,6494,589,1,589,589,1058,0.0
seq_73,seq_73,pBBR1,99.635,95.53695955369597,2103,3468,-,3468,1434,65,1434,1370,2448,0.0
seq_75,seq_75,ColE1,99.83,100.0,6119,6707,-,13649,589,1,589,589,1058,0.0
seq_75,seq_75,ColE1,99.66,100.0,11447,12035,+,13649,1,589,589,589,1054,0.0
seq_75,seq_75,Col440I_1__CP023920,94.737,100.0,2421,2534,+,13649,1,114,114,114,179,3.94e-45
seq_77,seq_77,ColE1,99.83,100.0,1949,2537,+,8340,1,589,589,589,1058,0.0
seq_77,seq_77,ColE1,99.83,100.0,5500,6088,-,8340,589,1,589,589,1058,0.0
seq_78,seq_78,ColE1,99.83,100.0,6742,7330,-,9749,589,1,589,589,1058,0.0
seq_78,seq_78,ColE1,99.66,100.0,93,681,+,9749,1,589,589,589,1054,0.0
seq_79,seq_79,pBBR1,100.0,94.00278940027894,1058,2405,+,2405,1,1348,1434,1348,2432,0.0
seq_80,seq_80,ColE1,99.83,100.0,3014,3602,+,4954,1,589,589,589,1058,0.0
seq_81,seq_81,ColE1,99.83,100.0,3142,3730,+,7751,1,589,589,589,1058,0.0
seq_83,seq_83,ColE1,99.83,100.0,6680,7268,-,8582,589,1,589,589,1058,0.0
seq_83,seq_83,ColE1,99.66,100.0,2370,2958,+,8582,1,589,589,589,1054,0.0
seq_84,seq_84,ColE1,99.656,98.64176570458405,1935,2515,+,6164,1,581,589,581,1040,0.0
seq_84,seq_84,Col440I_1__CP023920,89.091,96.49122807017544,2837,2946,+,6164,2,111,114,110,145,3.66e-35
seq_85,seq_85,ColE1,99.66,100.0,6588,7176,+,7539,1,589,589,589,1054,0.0
seq_86,seq_86,ColE1,99.83,100.0,2765,3353,+,10314,1,589,589,589,1058,0.0
seq_86,seq_86,ColE1,99.83,100.0,8476,9064,+,10314,1,589,589,589,1058,0.0
seq_87,seq_87,ColE1,99.83,100.0,1143,1731,-,4654,589,1,589,589,1058,0.0
seq_88,seq_88,Col(pHAD28)_1__KU674895,92.793,84.73282442748092,4655,4765,+,5083,1,111,131,111,165,3.2199999999999997e-41
seq_88,seq_88,Col(pHAD28)_1__KU674895,89.313,100.0,111,241,-,5083,131,1,131,131,174,6.22e-44
seq_89,seq_89,ColE1,99.83,100.0,5000,5588,+,6389,1,589,589,589,1058,0.0
seq_89,seq_89,Col440I_1__CP023920,94.737,100.0,1928,2041,+,6389,1,114,114,114,179,1.84e-45
seq_9,seq_9,ColE1,99.83,100.0,1664,2252,-,5559,589,1,589,589,1058,0.0
seq_91,seq_91,ColE1,99.83,100.0,2951,3539,+,7620,1,589,589,589,1058,0.0
seq_93,seq_93,ColE1,99.66,100.0,2398,2986,+,4199,1,589,589,589,1054,0.0
seq_98,seq_98,ColE1,99.66,100.0,736,1324,-,4559,589,1,589,589,1054,0.0
seq_99,seq_99,ColE1,99.66,100.0,7238,7826,+,9341,1,589,589,589,1054,0.0
