query_id	query_length	subject_id	subject_title	subject_length	align_length	identities	pct_identity	query_coverage	subject_coverage	evalue	bitscore
RL_seq_0	7887	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	5653	5638	99.73	71.67	57.48	0.0	10344.2
RL_seq_0	7887	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	5653	5638	99.73	71.67	69.48	0.0	10344.2
RL_seq_0	7887	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	5653	5638	99.73	71.67	70.68	0.0	10344.2
RL_seq_0	7887	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	5653	5638	99.73	71.67	69.05	0.0	10344.2
RL_seq_0	7887	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	5653	5638	99.73	71.67	70.76	0.0	10344.2
RL_seq_1	7851	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	5519	5505	99.75	70.3	56.12	0.0	10104.1
RL_seq_1	7851	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	5519	5505	99.75	70.3	67.83	0.0	10104.1
RL_seq_1	7851	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	5519	5505	99.75	70.3	69.0	0.0	10104.1
RL_seq_1	7851	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	5519	5505	99.75	70.3	67.41	0.0	10104.1
RL_seq_1	7851	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	5519	5505	99.75	70.3	69.08	0.0	10104.1
RL_seq_2	7072	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	5665	5648	99.7	80.1	57.61	0.0	10353.4
RL_seq_2	7072	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	5665	5648	99.7	80.1	69.63	0.0	10353.4
RL_seq_2	7072	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	5665	5648	99.7	80.1	70.83	0.0	10353.4
RL_seq_2	7072	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	5665	5648	99.7	80.1	69.2	0.0	10353.4
RL_seq_2	7072	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	5665	5648	99.7	80.1	70.91	0.0	10353.4
RL_seq_3	7944	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	5656	5642	99.75	71.2	57.51	0.0	10357.1
RL_seq_3	7944	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	5656	5642	99.75	71.2	69.52	0.0	10357.1
RL_seq_3	7944	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	5656	5642	99.75	71.2	70.72	0.0	10357.1
RL_seq_3	7944	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	5656	5642	99.75	71.2	69.09	0.0	10357.1
RL_seq_3	7944	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	5656	5642	99.75	71.2	70.8	0.0	10357.1
RL_seq_4	7077	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	5665	5650	99.74	80.05	57.61	0.0	10368.2
RL_seq_4	7077	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	5665	5650	99.74	80.05	69.63	0.0	10368.2
RL_seq_4	7077	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	5665	5650	99.74	80.05	70.83	0.0	10368.2
RL_seq_4	7077	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	5665	5650	99.74	80.05	69.2	0.0	10368.2
RL_seq_4	7077	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	5665	5650	99.74	80.05	70.91	0.0	10368.2
RL_seq_5	8131	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	5520	5506	99.75	67.89	56.13	0.0	10106.0
RL_seq_5	8131	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	139	139	100.0	1.71	1.41	2.08386e-62	257.805
RL_seq_5	8131	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	5520	5506	99.75	67.89	67.85	0.0	10106.0
RL_seq_5	8131	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	139	139	100.0	1.71	1.71	2.08386e-62	257.805
RL_seq_5	8131	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	5520	5506	99.75	67.89	69.02	0.0	10106.0
RL_seq_5	8131	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	139	139	100.0	1.71	1.74	2.08386e-62	257.805
RL_seq_5	8131	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	5520	5506	99.75	67.89	67.42	0.0	10106.0
RL_seq_5	8131	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	139	139	100.0	1.71	1.7	2.08386e-62	257.805
RL_seq_5	8131	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	5520	5506	99.75	67.89	69.1	0.0	10106.0
RL_seq_5	8131	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	139	139	100.0	1.71	1.74	2.08386e-62	257.805
RL_seq_6	7096	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	5650	5635	99.73	79.62	57.45	0.0	10338.7
RL_seq_6	7096	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	5650	5635	99.73	79.62	69.44	0.0	10338.7
RL_seq_6	7096	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	5650	5635	99.73	79.62	70.64	0.0	10338.7
RL_seq_6	7096	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	5650	5635	99.73	79.62	69.01	0.0	10338.7
RL_seq_6	7096	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	5650	5635	99.73	79.62	70.72	0.0	10338.7
RL_seq_7	7950	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	5668	5652	99.72	71.3	57.64	0.0	10366.4
RL_seq_7	7950	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	5668	5652	99.72	71.3	69.67	0.0	10366.4
RL_seq_7	7950	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	5668	5652	99.72	71.3	70.87	0.0	10366.4
RL_seq_7	7950	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	5668	5652	99.72	71.3	69.23	0.0	10366.4
RL_seq_7	7950	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	5668	5652	99.72	71.3	70.95	0.0	10366.4
RL_seq_8	7120	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	5650	5635	99.73	79.35	57.45	0.0	10338.7
RL_seq_8	7120	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	5650	5635	99.73	79.35	69.44	0.0	10338.7
RL_seq_8	7120	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	5650	5635	99.73	79.35	70.64	0.0	10338.7
RL_seq_8	7120	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	5650	5635	99.73	79.35	69.01	0.0	10338.7
RL_seq_8	7120	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	5650	5635	99.73	79.35	70.72	0.0	10338.7
RL_seq_9	8118	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	5513	5501	99.78	67.91	56.06	0.0	10104.1
RL_seq_9	8118	gi|1512457665|gb|MH621329.1|	gi|1512457665|gb|MH621329.1| Cloning vector pAgaL2, complete sequence	9834	139	139	100.0	1.71	1.41	2.08051e-62	257.805
RL_seq_9	8118	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	5513	5501	99.78	67.91	67.76	0.0	10104.1
RL_seq_9	8118	gi|1512457671|gb|MH621332.1|	gi|1512457671|gb|MH621332.1| Cloning vector pAgaL5, complete sequence	8136	139	139	100.0	1.71	1.71	2.08051e-62	257.805
RL_seq_9	8118	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	5513	5501	99.78	67.91	68.93	0.0	10104.1
RL_seq_9	8118	gi|1512457669|gb|MH621331.1|	gi|1512457669|gb|MH621331.1| Cloning vector pAgaL4, complete sequence	7998	139	139	100.0	1.71	1.74	2.08051e-62	257.805
RL_seq_9	8118	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	5513	5501	99.78	67.91	67.34	0.0	10104.1
RL_seq_9	8118	gi|1512457667|gb|MH621330.1|	gi|1512457667|gb|MH621330.1| Cloning vector pAgaL3, complete sequence	8187	139	139	100.0	1.71	1.7	2.08051e-62	257.805
RL_seq_9	8118	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	5513	5501	99.78	67.91	69.01	0.0	10104.1
RL_seq_9	8118	gi|1512457673|gb|MH621333.1|	gi|1512457673|gb|MH621333.1| Cloning vector pAgaL6, complete sequence	7989	139	139	100.0	1.71	1.74	2.08051e-62	257.805
RL_seq_10	6778	gi|1216630839|gb|KY412815.1|	gi|1216630839|gb|KY412815.1| Cloning vector pNK071, complete sequence	6352	2744	2744	100.0	40.48	43.2	0.0	5068.33
RL_seq_10	6778	gi|1216630839|gb|KY412815.1|	gi|1216630839|gb|KY412815.1| Cloning vector pNK071, complete sequence	6352	2603	2555	98.16	38.4	40.98	0.0	4503.25
RL_seq_10	6778	gi|1812207638|gb|MN812663.1|	gi|1812207638|gb|MN812663.1| Vector pAc-Cas13a, complete sequence	10018	2720	2717	99.89	40.13	27.15	0.0	5003.69
RL_seq_10	6778	gi|1812207638|gb|MN812663.1|	gi|1812207638|gb|MN812663.1| Vector pAc-Cas13a, complete sequence	10018	2459	2452	99.72	36.28	24.55	0.0	4497.71
RL_seq_10	6778	gi|1140311306|gb|KX357892.1|	gi|1140311306|gb|KX357892.1| Cloning vector pAc5.1B_FN_su(ur), complete sequence	8245	2612	2610	99.92	38.54	31.68	0.0	4811.64
RL_seq_10	6778	gi|1140311306|gb|KX357892.1|	gi|1140311306|gb|KX357892.1| Cloning vector pAc5.1B_FN_su(ur), complete sequence	8245	2584	2584	100.0	38.12	31.34	0.0	4772.86
RL_seq_10	6778	gi|407027787|dbj|AB750364.1|	gi|407027787|dbj|AB750364.1| Drosophila transfection vector pact-MCS DNA, complete sequence	6398	2592	2565	98.96	38.24	40.51	0.0	4615.9
RL_seq_10	6778	gi|407027787|dbj|AB750364.1|	gi|407027787|dbj|AB750364.1| Drosophila transfection vector pact-MCS DNA, complete sequence	6398	1867	1862	99.73	27.54	29.18	0.0	3419.27
RL_seq_10	6778	gi|298683668|gb|HM126643.1|	gi|298683668|gb|HM126643.1| Synthetic construct, complete sequence	12151	2576	2551	99.03	38.01	21.2	0.0	4601.12
