sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_1,seq_1,ColE1,99.83,100.0,6939,7527,-,9435,589,1,589,589,1058,0.0
seq_1,seq_1,ColE1,99.83,100.0,4080,4668,-,9435,589,1,589,589,1058,0.0
seq_1,seq_1,ColE1,99.83,100.0,1221,1809,-,9435,589,1,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,9456,10044,-,11730,589,1,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,6939,7527,-,11730,589,1,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,4080,4668,-,11730,589,1,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,1221,1809,-,11730,589,1,589,589,1058,0.0
seq_13,seq_13,ColE1,99.66,100.0,7432,8020,-,9282,589,1,589,589,1054,0.0
seq_13,seq_13,Col(pHAD28)_1__KU674895,89.313,100.0,2682,2812,-,9282,131,1,131,131,174,1.14e-43
seq_15,seq_15,pBBR1,99.851,93.72384937238492,1058,2401,+,2401,1,1343,1434,1344,2412,0.0
seq_17,seq_17,ColE1,99.491,100.0,7180,7768,-,10322,589,1,589,589,1049,0.0
seq_17,seq_17,ColE1,99.491,100.0,2920,3508,-,10322,589,1,589,589,1049,0.0
seq_19,seq_19,pBBR1,99.33,93.72384937238492,1058,2401,+,2401,1,1336,1434,1344,2382,0.0
seq_23,seq_23,ColE1,99.66,100.0,4990,5578,+,6196,1,589,589,589,1054,0.0
seq_25,seq_25,ColE1,99.491,100.0,3323,3911,-,7319,589,1,589,589,1049,0.0
seq_25,seq_25,ColE1,99.491,100.0,1137,1725,-,7319,589,1,589,589,1049,0.0
seq_27,seq_27,ColE1,99.66,100.0,5681,6269,+,10045,1,589,589,589,1054,0.0
seq_3,seq_3,pBBR1,99.33,93.72384937238492,1058,2401,+,2401,1,1336,1434,1344,2382,0.0
seq_31,seq_31,pBBR1,99.33,93.72384937238492,1058,2401,+,2401,1,1336,1434,1344,2382,0.0
seq_33,seq_33,pBBR1,99.334,94.21199442119944,1058,2408,+,2408,1,1343,1434,1351,2395,0.0
seq_35,seq_35,pBBR1,99.851,93.72384937238492,1058,2401,+,2401,1,1343,1434,1344,2412,0.0
seq_39,seq_39,ColE1,99.66,100.0,1673,2261,-,6239,589,1,589,589,1054,0.0
seq_41,seq_41,ColE1,99.83,100.0,1264,1852,-,5014,589,1,589,589,1058,0.0
seq_43,seq_43,ColE1,99.83,100.0,4614,5202,+,8970,1,589,589,589,1058,0.0
seq_45,seq_45,pBBR1,99.851,93.72384937238492,1058,2401,+,2401,1,1343,1434,1344,2412,0.0
seq_47,seq_47,pBBR1,99.33,93.72384937238492,1058,2401,+,2401,1,1336,1434,1344,2382,0.0
seq_49,seq_49,pBBR1,99.33,93.72384937238492,1058,2401,+,2401,1,1336,1434,1344,2382,0.0
seq_5,seq_5,pBBR1,99.33,93.72384937238492,1058,2401,+,2401,1,1336,1434,1344,2382,0.0
seq_51,seq_51,pBBR1,99.33,93.72384937238492,1058,2401,+,2401,1,1336,1434,1344,2382,0.0
seq_53,seq_53,ColE1,99.83,100.0,9535,10123,-,12333,589,1,589,589,1058,0.0
seq_53,seq_53,ColE1,99.83,100.0,6979,7567,-,12333,589,1,589,589,1058,0.0
seq_53,seq_53,ColE1,99.83,100.0,4131,4719,-,12333,589,1,589,589,1058,0.0
seq_53,seq_53,ColE1,99.83,100.0,1272,1860,-,12333,589,1,589,589,1058,0.0
seq_55,seq_55,ColE1,99.66,100.0,2755,3343,+,9475,1,589,589,589,1054,0.0
seq_55,seq_55,ColE1,99.491,100.0,6669,7257,+,9475,1,589,589,589,1049,0.0
seq_57,seq_57,ColE10_1__X01654,100.0,100.0,5687,5863,-,9056,177,1,177,177,320,1.18e-87
seq_57,seq_57,ColE1,99.491,100.0,1338,1926,-,9056,589,1,589,589,1049,0.0
seq_59,seq_59,pBBR1,99.851,93.72384937238492,1058,2401,+,2401,1,1343,1434,1344,2412,0.0
seq_61,seq_61,ColE1,99.49,99.830220713073,2189,2776,+,4870,1,588,589,588,1048,0.0
seq_63,seq_63,ColE1,99.491,100.0,2567,3155,+,9591,1,589,589,589,1049,0.0
seq_63,seq_63,ColE1,99.491,100.0,7053,7641,+,9591,1,589,589,589,1049,0.0
seq_65,seq_65,ColE1,99.66,100.0,3297,3885,+,5079,1,589,589,589,1054,0.0
seq_67,seq_67,ColE1,99.83,100.0,12367,12955,-,14230,589,1,589,589,1058,0.0
seq_67,seq_67,ColE1,99.83,100.0,9508,10096,-,14230,589,1,589,589,1058,0.0
seq_67,seq_67,ColE1,99.83,100.0,6863,7451,-,14230,589,1,589,589,1058,0.0
seq_67,seq_67,ColE1,99.83,100.0,4003,4591,-,14230,589,1,589,589,1058,0.0
seq_67,seq_67,ColE1,99.491,100.0,1124,1712,-,14230,589,1,589,589,1049,0.0
seq_69,seq_69,ColE1,99.491,100.0,2698,3286,-,8664,589,1,589,589,1049,0.0
seq_7,seq_7,ColE1,99.66,100.0,2964,3552,-,6027,589,1,589,589,1054,0.0
seq_73,seq_73,ColE1,99.491,100.0,1125,1713,-,8356,589,1,589,589,1049,0.0
seq_75,seq_75,ColE1,99.83,100.0,7446,8034,+,10240,1,589,589,589,1058,0.0
seq_75,seq_75,ColE1,99.66,100.0,4730,5318,+,10240,1,589,589,589,1054,0.0
seq_75,seq_75,ColE1,99.491,100.0,3307,3895,-,10240,589,1,589,589,1049,0.0
seq_75,seq_75,ColE1,99.491,100.0,1125,1713,-,10240,589,1,589,589,1049,0.0
seq_77,seq_77,ColE1,99.66,100.0,1185,1773,-,5403,589,1,589,589,1054,0.0
seq_79,seq_79,ColE1,99.491,100.0,2394,2982,-,5979,589,1,589,589,1049,0.0
seq_81,seq_81,ColE1,99.491,100.0,2723,3311,-,5429,589,1,589,589,1049,0.0
