sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.83,100.0,2111,2699,+,6556,1,589,589,589,1058,0.0
seq_1,seq_1,ColE1,99.83,100.0,2439,3027,+,7743,1,589,589,589,1058,0.0
seq_10,seq_10,ColE1,99.83,100.0,1942,2530,+,6536,1,589,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,3041,3629,+,7652,1,589,589,589,1058,0.0
seq_12,seq_12,ColE1,99.83,100.0,1757,2345,+,6520,1,589,589,589,1058,0.0
seq_13,seq_13,ColE1,99.66,100.0,2698,3286,-,9017,589,1,589,589,1054,0.0
seq_14,seq_14,ColE1,99.83,100.0,2108,2696,+,6679,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.83,100.0,2596,3184,+,7368,1,589,589,589,1058,0.0
seq_16,seq_16,ColE1,99.491,100.0,1962,2550,-,6717,589,1,589,589,1049,0.0
seq_17,seq_17,ColE1,99.83,100.0,2590,3178,+,7408,1,589,589,589,1058,0.0
seq_18,seq_18,ColE1,99.83,100.0,2098,2686,+,6561,1,589,589,589,1058,0.0
seq_2,seq_2,ColE1,99.83,100.0,3075,3663,+,7331,1,589,589,589,1058,0.0
seq_20,seq_20,ColE1,99.83,100.0,1801,2389,+,6487,1,589,589,589,1058,0.0
seq_21,seq_21,ColE1,99.66,100.0,2920,3508,-,10897,589,1,589,589,1054,0.0
seq_22,seq_22,ColE1,99.83,100.0,1793,2381,+,6502,1,589,589,589,1058,0.0
seq_23,seq_23,ColE1,99.66,100.0,1390,1978,-,6585,589,1,589,589,1054,0.0
seq_24,seq_24,ColE1,99.83,100.0,2208,2796,+,6671,1,589,589,589,1058,0.0
seq_25,seq_25,ColE1,99.83,100.0,2452,3040,+,7229,1,589,589,589,1058,0.0
seq_26,seq_26,ColE1,99.83,100.0,1890,2478,+,6534,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.83,100.0,7561,8149,+,10748,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.66,100.0,2951,3539,+,10748,1,589,589,589,1054,0.0
seq_27,seq_27,ColE1,99.491,100.0,1124,1712,-,10748,589,1,589,589,1049,0.0
seq_28,seq_28,ColE1,99.83,100.0,2234,2822,+,6618,1,589,589,589,1058,0.0
seq_29,seq_29,ColE1,99.491,100.0,1855,2443,-,7447,589,1,589,589,1049,0.0
seq_3,seq_3,ColE1,99.83,100.0,2970,3558,+,7864,1,589,589,589,1058,0.0
seq_30,seq_30,ColE1,99.83,100.0,1844,2432,+,6564,1,589,589,589,1058,0.0
seq_31,seq_31,ColE1,99.83,100.0,2582,3170,+,7451,1,589,589,589,1058,0.0
