sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.83,100.0,2850,3438,+,7190,1,589,589,589,1058,0.0
seq_1,seq_1,ColE1,99.83,100.0,2597,3185,+,7639,1,589,589,589,1058,0.0
seq_10,seq_10,ColE1,99.83,100.0,1794,2382,+,7090,1,589,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,2677,3265,+,8149,1,589,589,589,1058,0.0
seq_12,seq_12,ColE1,99.83,100.0,1735,2323,+,7163,1,589,589,589,1058,0.0
seq_13,seq_13,ColE1,99.83,100.0,2415,3003,+,7878,1,589,589,589,1058,0.0
seq_14,seq_14,ColE1,99.83,100.0,2076,2664,+,7093,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.83,100.0,2522,3110,+,7960,1,589,589,589,1058,0.0
seq_17,seq_17,ColE1,99.83,100.0,2592,3180,+,7618,1,589,589,589,1058,0.0
seq_18,seq_18,ColE1,99.83,100.0,2263,2851,+,7118,1,589,589,589,1058,0.0
seq_19,seq_19,ColE1,99.83,100.0,2668,3256,+,8130,1,589,589,589,1058,0.0
seq_2,seq_2,ColE1,99.83,100.0,2162,2750,+,7065,1,589,589,589,1058,0.0
seq_20,seq_20,ColE1,99.83,100.0,2164,2752,+,7082,1,589,589,589,1058,0.0
seq_21,seq_21,ColE1,99.83,100.0,2360,2948,+,7883,1,589,589,589,1058,0.0
seq_22,seq_22,ColE1,99.83,100.0,2083,2671,+,7171,1,589,589,589,1058,0.0
seq_23,seq_23,ColE1,99.83,100.0,2477,3065,+,7944,1,589,589,589,1058,0.0
seq_24,seq_24,ColE1,99.83,100.0,2092,2680,+,7131,1,589,589,589,1058,0.0
seq_25,seq_25,ColE1,99.83,100.0,2479,3067,+,7982,1,589,589,589,1058,0.0
seq_26,seq_26,ColE1,99.83,100.0,2401,2989,+,7140,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.83,100.0,2668,3256,+,8128,1,589,589,589,1058,0.0
seq_28,seq_28,ColE1,99.83,100.0,1991,2579,+,7068,1,589,589,589,1058,0.0
