sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_1,seq_1,ColE1,99.66,100.0,4977,5565,-,7763,589,1,589,589,1054,0.0
seq_12,seq_12,ColE1,99.83,100.0,6380,6968,+,10430,1,589,589,589,1058,0.0
seq_12,seq_12,ColE1,99.66,100.0,2152,2740,+,10430,1,589,589,589,1054,0.0
seq_13,seq_13,ColE1,99.83,100.0,2168,2756,-,8867,589,1,589,589,1058,0.0
seq_14,seq_14,ColE1,99.83,100.0,1618,2206,+,11774,1,589,589,589,1058,0.0
seq_14,seq_14,ColE1,99.83,100.0,7554,8142,+,11774,1,589,589,589,1058,0.0
seq_15,seq_15,pBBR1,100.0,94.00278940027894,1058,2405,+,2405,1,1348,1434,1348,2432,0.0
seq_16,seq_16,ColE1,99.66,100.0,1783,2371,+,3549,1,589,589,589,1054,0.0
seq_17,seq_17,pBBR1,99.926,94.07252440725244,1058,2406,+,2406,1,1348,1434,1349,2425,0.0
seq_19,seq_19,pBBR1,100.0,94.00278940027894,1058,2405,+,2405,1,1348,1434,1348,2432,0.0
seq_2,seq_2,ColE1,99.83,100.0,3324,3912,+,12961,1,589,589,589,1058,0.0
seq_2,seq_2,ColE1,99.83,100.0,9774,10362,+,12961,1,589,589,589,1058,0.0
seq_23,seq_23,pBBR1,100.0,94.00278940027894,1058,2405,+,2405,1,1348,1434,1348,2432,0.0
seq_24,seq_24,ColE1,99.83,100.0,3980,4568,+,4899,1,589,589,589,1058,0.0
seq_25,seq_25,pBBR1,99.926,94.07252440725244,1058,2406,+,2406,1,1348,1434,1349,2425,0.0
seq_27,seq_27,pBBR1,99.926,94.07252440725244,1058,2406,+,2406,1,1348,1434,1349,2425,0.0
seq_28,seq_28,ColE1,99.83,100.0,1802,2390,+,4873,1,589,589,589,1058,0.0
seq_3,seq_3,pBBR1,100.0,94.00278940027894,1058,2405,+,2405,1,1348,1434,1348,2432,0.0
seq_31,seq_31,Col440I_1__CP023920,94.737,100.0,2723,2836,+,6157,1,114,114,114,179,1.7699999999999998e-45
seq_33,seq_33,ColE1,99.66,100.0,2236,2824,+,4683,1,589,589,589,1054,0.0
seq_34,seq_34,ColE1,99.83,100.0,4973,5561,+,11028,1,589,589,589,1058,0.0
seq_34,seq_34,Col(pHAD28)_1__KU674895,89.313,100.0,109,239,-,11028,131,1,131,131,174,1.3500000000000002e-43
seq_35,seq_35,ColE1,99.83,100.0,1259,1847,-,9054,589,1,589,589,1058,0.0
seq_35,seq_35,Col440I_1__CP023920,94.737,100.0,5654,5767,+,9054,1,114,114,114,179,2.61e-45
seq_36,seq_36,Col(pHAD28)_1__KU674895,87.857,106.87022900763358,440,579,-,1467,131,1,131,140,180,4.19e-46
seq_37,seq_37,ColE1,99.66,100.0,2759,3347,+,4083,1,589,589,589,1054,0.0
seq_39,seq_39,ColE10_1__X01654,99.435,100.0,1575,1751,-,6300,177,1,177,177,315,3.5e-86
seq_4,seq_4,ColE1,99.83,100.0,5447,6035,+,10177,1,589,589,589,1058,0.0
seq_41,seq_41,ColE10_1__X01654,100.0,100.0,1287,1463,-,5196,177,1,177,177,320,6.78e-88
